Bustronome,"Coach Bay 40B, Victoria Embankment, London WC2N 6PB England",+44 20 3744 5554,http://www.bustronome.com/en/,£65 - £150,"French, European, Healthy, Contemporary, Fusion","Vegetarian Friendly, Vegan Options"
TOKii,"50 Great Cumberland Place Marble Arch, London W1H 7FD England",+44 20 7724 0486,http://www.tokii.co.uk/,,,
Pivaz Hackney,"34 Chatsworth Road, London E5 0LP England",+44 20 8985 2599,http://WWW.PIVAZ.CO.UK,,,
Fugitive Motel,"199 Cambridge Heath Road, London E2 0EL England",+44 20 3974 4455,http://fugitivemotel.bar,£6 - £15,"Bar, Pizza, Brew Pub","Vegetarian Friendly, Vegan Options"
Manuel's Restaurant and Bar,"129 Gipsy Hill, London SE19 1QS England",+44 20 8670 1843,http://www.manuelsrestaurantandbar.com,£20 - £45,"Italian, Seafood, Mediterranean, European, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Latitude Wimbledon,"138 Merton Road Wimbledon, London SW19 1EH England",+44 20 8542 6500,http://www.latitude-restaurant.co.uk,£6 - £17,"European, International","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Angus Steakhouse Paddington,"163 Praed Street, London W2 1RH England",+44 20 7706 4879,http://www.angussteakhouse.co.uk/#our-restaurants,£13 - £26,"Steakhouse, Bar, British",Gluten Free Options
The Park Room,"86-90 Park Lane Grosvenor House, A JW Marriott Hotel, London W6 7LS England",+44 20 7399 8452,http://www.parkroom.co.uk/,£20 - £60,"British, International","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Yum Sa,"3 88 Plaza Gardens Upper Richmond Road, London SW15 2DT England",+44 20 3371 9111,http://www.yum-sa.com,£6 - £44,"Asian, Thai, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Cafe Parisienne,"225 Lavender Hill, London SW11 1JR England",+44 20 7924 5523,http://www.facebook.com/Parisienne-Cafe-127500183966178/,,,
Iznik,"19 Highbury Park, London N5 1QJ England",+44 20 7704 8099,http://www.iznik.co.uk/,,,
The Rajdoot,"49 Paddington Street Marylebone, London W1U 4HW England",+44 20 7486 2055,http://www.therajdootindian.com,,,
Tower Mangal,"55-57 Tower Bridge Road SE1 4TL, London England",+44 20 7357 6853,http://www.towermangal.co.uk,"Mediterranean, Turkish, Healthy, Middle Eastern","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Late Night, Drinks"
The Golden Chippy,"62 Greenwich High Road, London SE10 8LF England",+44 20 8692 4333,http://www.thegoldenchippy.co.uk/,"Seafood, British","Lunch, Dinner","Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service"
